sl_no,SKU_NAME,FEED_DATE,VIEWS,UNITS
300,D102VX\R52,6/24/2019,3171,1044
301,D102VX\R52,6/25/2019,2956,929
302,D102VX\R52,6/26/2019,3123,779
303,D102VX\R52,6/27/2019,3064,976
304,D102VX\R52,6/28/2019,2556,803
305,D102VX\R52,6/29/2019,1470,187
306,D102VX\R52,6/30/2019,1544,261
307,D102VX\R52,7/1/2019,2771,1045
308,D102VX\R52,7/2/2019,2972,834
309,D102VX\R52,7/3/2019,2588,672
310,D102VX\R52,7/4/2019,1277,171
311,D102VX\R52,7/5/2019,2063,479
312,D102VX\R52,7/6/2019,1333,176
313,D102VX\R52,7/7/2019,1566,215
314,D102VX\R52,7/8/2019,3103,1056
315,D102VX\R52,7/9/2019,3203,1082
316,D102VX\R52,7/10/2019,3124,1091
317,D102VX\R52,7/11/2019,3337,1128
318,D102VX\R52,7/12/2019,2939,748
319,D102VX\R52,7/13/2019,1698,232
320,D102VX\R52,7/14/2019,1878,203
321,D102VX\R52,7/15/2019,5853,1432
322,D102VX\R52,7/16/2019,4994,1333
323,D102VX\R52,7/17/2019,3515,1048
324,D102VX\R52,7/18/2019,3264,821
325,D102VX\R52,7/19/2019,2704,830
326,D102VX\R52,7/20/2019,1701,260
327,D102VX\R52,7/21/2019,1675,258
328,D102VX\R52,7/22/2019,3335,975
329,D102VX\R52,7/23/2019,3325,1092
330,D102VX\R52,7/24/2019,3264,908
331,D102VX\R52,7/25/2019,3237,854
332,D102VX\R52,7/26/2019,2622,815
333,D102VX\R52,7/27/2019,1529,221
334,D102VX\R52,7/28/2019,1708,326
335,D102VX\R52,7/29/2019,3258,894
336,D102VX\R52,7/30/2019,3333,1172
337,D102VX\R52,7/31/2019,3417,1301
338,D102VX\R52,8/1/2019,3328,1237
339,D102VX\R52,8/2/2019,3174,1124
340,D102VX\R52,8/3/2019,1885,337
341,D102VX\R52,8/4/2019,1999,335
342,D102VX\R52,8/5/2019,3572,1052
343,D102VX\R52,8/6/2019,3669,1190
344,D102VX\R52,8/7/2019,3853,1274
345,D102VX\R52,8/8/2019,3884,962
346,D102VX\R52,8/9/2019,3333,814
347,D102VX\R52,8/10/2019,2033,301
348,D102VX\R52,8/11/2019,2328,341
349,D102VX\R52,8/12/2019,3841,1014
350,D102VX\R52,8/13/2019,4026,1128
351,D102VX\R52,8/14/2019,3996,1219
352,D102VX\R52,8/15/2019,3775,1406
353,D102VX\R52,8/16/2019,3501,1026
354,D102VX\R52,8/17/2019,2101,312
355,D102VX\R52,8/18/2019,2494,570
356,D102VX\R52,8/19/2019,4035,1069
357,D102VX\R52,8/20/2019,4042,1320
358,D102VX\R52,8/21/2019,4031,1417
359,D102VX\R52,8/22/2019,4106,1218
360,D102VX\R52,8/23/2019,3423,919
361,D102VX\R52,8/24/2019,2000,353
362,D102VX\R52,8/25/2019,2374,405
363,D102VX\R52,8/26/2019,4034,1195
364,D102VX\R52,8/27/2019,4208,1466
365,D102VX\R52,8/28/2019,4038,1287
366,D102VX\R52,8/29/2019,3682,1218
367,D102VX\R52,8/30/2019,3135,917
368,D102VX\R52,8/31/2019,2049,331
369,C120[H:8NV,5/1/2019,468,68
370,C120[H:8NV,5/2/2019,435,71
371,C120[H:8NV,5/3/2019,441,72
372,C120[H:8NV,5/4/2019,350,26
373,C120[H:8NV,5/5/2019,340,23
374,C120[H:8NV,5/6/2019,493,77
375,C120[H:8NV,5/7/2019,448,74
376,C120[H:8NV,5/8/2019,419,84
377,C120[H:8NV,5/9/2019,382,79
378,C120[H:8NV,5/10/2019,338,69
379,C120[H:8NV,5/11/2019,249,25
380,C120[H:8NV,5/12/2019,379,27
381,C120[H:8NV,5/13/2019,459,90
382,C120[H:8NV,5/14/2019,427,76
383,C120[H:8NV,5/15/2019,390,73
384,C120[H:8NV,5/16/2019,490,91
385,C120[H:8NV,5/17/2019,432,74
386,C120[H:8NV,5/18/2019,329,33
387,C120[H:8NV,5/19/2019,370,42
388,C120[H:8NV,5/20/2019,463,81
389,C120[H:8NV,5/21/2019,565,121
390,C120[H:8NV,5/22/2019,598,141
391,C120[H:8NV,5/23/2019,445,78
392,C120[H:8NV,5/24/2019,453,64
393,C120[H:8NV,5/25/2019,326,22
394,C120[H:8NV,5/26/2019,327,26
395,C120[H:8NV,5/27/2019,325,25
396,C120[H:8NV,5/28/2019,515,116
397,C120[H:8NV,5/29/2019,546,136
398,C120[H:8NV,5/30/2019,529,127
399,C120[H:8NV,5/31/2019,518,141
400,C120[H:8NV,6/1/2019,410,43
401,C120[H:8NV,6/2/2019,443,50
402,C120[H:8NV,6/3/2019,548,98
403,C120[H:8NV,6/4/2019,581,124
404,C120[H:8NV,6/5/2019,559,88
405,C120[H:8NV,6/6/2019,598,134
406,C120[H:8NV,6/7/2019,527,97
407,C120[H:8NV,6/8/2019,424,51
408,C120[H:8NV,6/9/2019,441,56
409,C120[H:8NV,6/10/2019,590,83
410,C120[H:8NV,6/11/2019,558,112
411,C120[H:8NV,6/12/2019,549,141
412,C120[H:8NV,6/13/2019,613,173
413,C120[H:8NV,6/14/2019,472,99
414,C120[H:8NV,6/15/2019,391,28
415,C120[H:8NV,6/16/2019,429,50
416,C120[H:8NV,6/17/2019,567,107
417,C120[H:8NV,6/18/2019,526,97
418,C120[H:8NV,6/19/2019,528,110
419,C120[H:8NV,6/20/2019,505,66
420,C120[H:8NV,6/21/2019,414,86
421,C120[H:8NV,6/22/2019,407,34
422,C120[H:8NV,6/23/2019,433,27
423,C120[H:8NV,6/24/2019,530,111
424,C120[H:8NV,6/25/2019,543,85
425,C120[H:8NV,6/26/2019,481,96
426,C120[H:8NV,6/27/2019,487,93
427,C120[H:8NV,6/28/2019,480,72
428,C120[H:8NV,6/29/2019,404,34
429,C120[H:8NV,6/30/2019,388,25
430,C120[H:8NV,7/1/2019,489,97
431,C120[H:8NV,7/2/2019,518,96
432,C120[H:8NV,7/3/2019,476,87
433,C120[H:8NV,7/4/2019,307,27
434,C120[H:8NV,7/5/2019,431,49
435,C120[H:8NV,7/6/2019,381,30
436,C120[H:8NV,7/7/2019,380,34
437,C120[H:8NV,7/8/2019,470,66
438,C120[H:8NV,7/9/2019,491,70
439,C120[H:8NV,7/10/2019,490,96
440,C120[H:8NV,7/11/2019,499,100
441,C120[H:8NV,7/12/2019,497,76
442,C120[H:8NV,7/13/2019,319,26
443,C120[H:8NV,7/14/2019,410,26
444,C120[H:8NV,7/15/2019,796,130
445,C120[H:8NV,7/16/2019,807,130
446,C120[H:8NV,7/17/2019,440,70
447,C120[H:8NV,7/18/2019,492,68
448,C120[H:8NV,7/19/2019,410,82
449,C120[H:8NV,7/20/2019,352,27
450,C120[H:8NV,7/21/2019,387,22
451,C120[H:8NV,7/22/2019,539,91
452,C120[H:8NV,7/23/2019,506,94
453,C120[H:8NV,7/24/2019,532,115
454,C120[H:8NV,7/25/2019,424,76
455,C120[H:8NV,7/26/2019,501,79
456,C120[H:8NV,7/27/2019,322,36
457,C120[H:8NV,7/28/2019,381,31
458,C120[H:8NV,7/29/2019,485,77
459,C120[H:8NV,7/30/2019,451,88
460,C120[H:8NV,7/31/2019,525,129
461,C120[H:8NV,8/1/2019,495,126
462,C120[H:8NV,8/2/2019,361,48
463,C120[H:8NV,8/3/2019,329,32
464,C120[H:8NV,8/4/2019,376,43
465,C120[H:8NV,8/5/2019,549,79
466,C120[H:8NV,8/6/2019,447,61
467,C120[H:8NV,8/7/2019,455,68
468,C120[H:8NV,8/8/2019,436,74
469,C120[H:8NV,8/9/2019,438,116
470,C120[H:8NV,8/10/2019,354,21
471,C120[H:8NV,8/11/2019,364,30
472,C120[H:8NV,8/12/2019,535,77
473,C120[H:8NV,8/13/2019,542,149
474,C120[H:8NV,8/14/2019,507,93
475,C120[H:8NV,8/15/2019,455,111
476,C120[H:8NV,8/16/2019,360,79
477,C120[H:8NV,8/17/2019,393,26
478,C120[H:8NV,8/18/2019,353,31
479,C120[H:8NV,8/19/2019,506,83
480,C120[H:8NV,8/20/2019,495,83
481,C120[H:8NV,8/21/2019,515,126
482,C120[H:8NV,8/22/2019,460,80
483,C120[H:8NV,8/23/2019,439,97
484,C120[H:8NV,8/24/2019,346,28
485,C120[H:8NV,8/25/2019,378,25
486,C120[H:8NV,8/26/2019,457,67
487,C120[H:8NV,8/27/2019,468,73
488,C120[H:8NV,8/28/2019,505,82
489,C120[H:8NV,8/29/2019,404,74
490,C120[H:8NV,8/30/2019,401,72
491,C120[H:8NV,8/31/2019,289,34
492,B223F54NLG,5/1/2019,506,99
493,B223F54NLG,5/2/2019,545,104
494,B223F54NLG,5/3/2019,475,90
495,B223F54NLG,5/4/2019,339,58
496,B223F54NLG,5/5/2019,470,58
497,B223F54NLG,5/6/2019,520,90
498,B223F54NLG,5/7/2019,621,113
499,B223F54NLG,5/8/2019,549,103
500,B223F54NLG,5/9/2019,546,98
501,B223F54NLG,5/10/2019,498,104
502,B223F54NLG,5/11/2019,370,47
503,B223F54NLG,5/12/2019,375,60
504,B223F54NLG,5/13/2019,473,104
505,B223F54NLG,5/14/2019,575,84
506,B223F54NLG,5/15/2019,551,102
507,B223F54NLG,5/16/2019,542,94
508,B223F54NLG,5/17/2019,540,94
509,B223F54NLG,5/18/2019,451,52
510,B223F54NLG,5/19/2019,520,50
511,B223F54NLG,5/20/2019,601,106
512,B223F54NLG,5/21/2019,567,136
513,B223F54NLG,5/22/2019,560,105
514,B223F54NLG,5/23/2019,552,66
515,B223F54NLG,5/24/2019,541,97
516,B223F54NLG,5/25/2019,551,43
517,B223F54NLG,5/26/2019,512,47
518,B223F54NLG,5/27/2019,436,55
519,B223F54NLG,5/28/2019,548,107
520,B223F54NLG,5/29/2019,520,96
521,B223F54NLG,5/30/2019,548,92
522,B223F54NLG,5/31/2019,452,60
523,B223F54NLG,6/1/2019,474,40
524,B223F54NLG,6/2/2019,468,55
525,B223F54NLG,6/3/2019,542,65
526,B223F54NLG,6/4/2019,572,71
527,B223F54NLG,6/5/2019,574,102
528,B223F54NLG,6/6/2019,534,67
529,B223F54NLG,6/7/2019,456,62
530,B223F54NLG,6/8/2019,361,53
531,B223F54NLG,6/9/2019,334,54
532,B223F54NLG,6/10/2019,567,81
533,B223F54NLG,6/11/2019,531,32
534,B223F54NLG,6/12/2019,503,26
535,B223F54NLG,6/13/2019,453,17
536,B223F54NLG,6/14/2019,458,54
537,B223F54NLG,6/15/2019,339,50
538,B223F54NLG,6/16/2019,333,36
539,B223F54NLG,6/17/2019,507,91
540,B223F54NLG,6/18/2019,544,77
541,B223F54NLG,6/19/2019,600,79
542,B223F54NLG,6/20/2019,646,85
543,B223F54NLG,6/21/2019,554,96
544,B223F54NLG,6/22/2019,307,42
545,B223F54NLG,6/23/2019,344,10
546,B223F54NLG,6/24/2019,524,17
547,B223F54NLG,6/25/2019,560,33
548,B223F54NLG,6/26/2019,559,79
549,B223F54NLG,6/27/2019,599,129
550,B223F54NLG,6/28/2019,517,86
551,B223F54NLG,6/29/2019,288,38
552,B223F54NLG,6/30/2019,412,66
553,B223F54NLG,7/1/2019,522,82
554,B223F54NLG,7/2/2019,548,89
555,B223F54NLG,7/3/2019,508,112
556,B223F54NLG,7/4/2019,358,47
557,B223F54NLG,7/5/2019,413,67
558,B223F54NLG,7/6/2019,334,52
559,B223F54NLG,7/7/2019,329,47
560,B223F54NLG,7/8/2019,486,91
561,B223F54NLG,7/9/2019,556,77
562,B223F54NLG,7/10/2019,607,88
563,B223F54NLG,7/11/2019,637,97
564,B223F54NLG,7/12/2019,515,97
565,B223F54NLG,7/13/2019,410,51
566,B223F54NLG,7/14/2019,413,51
567,B223F54NLG,7/15/2019,1211,151
568,B223F54NLG,7/16/2019,843,160
569,B223F54NLG,7/17/2019,629,81
570,B223F54NLG,7/18/2019,595,94
571,B223F54NLG,7/19/2019,557,82
572,B223F54NLG,7/20/2019,419,52
573,B223F54NLG,7/21/2019,437,50
574,B223F54NLG,7/22/2019,589,84
575,B223F54NLG,7/23/2019,608,112
576,B223F54NLG,7/24/2019,603,133
577,B223F54NLG,7/25/2019,584,110
578,B223F54NLG,7/26/2019,523,98
579,B223F54NLG,7/27/2019,371,74
580,B223F54NLG,7/28/2019,422,58
581,B223F54NLG,7/29/2019,551,116
582,B223F54NLG,7/30/2019,626,122
583,B223F54NLG,7/31/2019,601,125
584,B223F54NLG,8/1/2019,572,114
585,B223F54NLG,8/2/2019,522,112
586,B223F54NLG,8/3/2019,450,71
587,B223F54NLG,8/4/2019,452,83
588,B223F54NLG,8/5/2019,636,116
589,B223F54NLG,8/6/2019,618,132
590,B223F54NLG,8/7/2019,638,54
591,B223F54NLG,8/8/2019,638,67
592,B223F54NLG,8/9/2019,551,99
593,B223F54NLG,8/10/2019,360,54
594,B223F54NLG,8/11/2019,436,53
595,B223F54NLG,8/12/2019,536,89
596,B223F54NLG,8/13/2019,592,96
597,B223F54NLG,8/14/2019,658,117
598,B223F54NLG,8/15/2019,620,93
599,B223F54NLG,8/16/2019,553,96
600,B223F54NLG,8/17/2019,441,65
601,B223F54NLG,8/18/2019,379,46
602,B223F54NLG,8/19/2019,578,16
603,B223F54NLG,8/20/2019,543,12
604,B223F54NLG,8/21/2019,550,91
605,B223F54NLG,8/22/2019,587,99
606,B223F54NLG,8/23/2019,464,80
607,B223F54NLG,8/24/2019,346,60
608,B223F54NLG,8/25/2019,379,62
609,B223F54NLG,8/26/2019,577,89
610,B223F54NLG,8/27/2019,588,93
611,B223F54NLG,8/28/2019,640,97
612,B223F54NLG,8/29/2019,496,84
613,B223F54NLG,8/30/2019,495,100
614,B223F54NLG,8/31/2019,369,65
615,C211F62H36,5/1/2019,722,52
616,C211F62H36,5/2/2019,748,44
617,C211F62H36,5/3/2019,649,44
618,C211F62H36,5/4/2019,655,5
619,C211F62H36,5/5/2019,538,4
620,C211F62H36,5/6/2019,743,67
621,C211F62H36,5/7/2019,766,55
622,C211F62H36,5/8/2019,809,65
623,C211F62H36,5/9/2019,764,60
624,C211F62H36,5/10/2019,603,38
625,C211F62H36,5/11/2019,575,23
626,C211F62H36,5/12/2019,518,21
